Name,Hardness,SGBP,g3,Hvapor,Hvapor_pred,Hvapor_pred_sd,Set
"2,2prime,3,4prime,6prime-Pentachlorobiphenyl",0.319016,1051.18915,168.7462183,96.3,94.17419336193646,0.48,CV
"2,2prime,3,4prime,5prime-Pentachlorobiphenyl",0.311342,1051.20669,168.797409,96.3,96.68590079803081,0.23,CV
"2,2prime,3,3prime,5,6,6prime-Heptachlorobiphenyl",0.304357,1258.14497,173.8037876,96.3,110.47114276246052,0.47,CV
"2,2prime,3,4,5prime,6-Hexachlorobiphenyl",0.307336,1154.70776,170.1228797,96.5,103.41128078030042,0.27,CV
"2,3prime,4,5-Tetrachlorobiphenyl",0.301156,947.71858,170.0505039,96.6,95.32808899006675,0.37,CV
"2,3,4prime,5,6-Pentachlorobiphenyl",0.313051,1051.20741,164.2813835,96.9,94.76040883347578,0.42,CV
"2,2prime,4,4prime,5,6prime-Hexachlorobiphenyl",0.310128,1154.76292,170.6814269,96.9,102.46605127861785,0.4,CV
"2,2prime,3,3prime,5,6prime-Hexachlorobiphenyl",0.308523,1154.70383,171.9335402,97.0,103.2478698929015,0.44,CV
"2,2prime,3,4prime,5prime,6-Hexachlorobiphenyl",0.307313,1154.71353,170.3243158,97.1,103.22036079069588,0.31,CV
"2,3,3prime,5,6-Pentachlorobiphenyl",0.312054,1051.20743,165.6849313,97.4,95.46162733497465,0.35,CV
"2,3,4,4prime,6-Pentachlorobiphenyl",0.312491,1051.20919,164.5190796,97.4,95.11363378862778,0.47,CV
"2,3,5,6-Tetrachlorobiphenyl",0.319013,947.6482,162.5666152,97.8,87.3320710325017,0.32,CV
"2,2prime,3,4prime,5,6,6prime-Heptachlorobiphenyl",0.312289,1258.19507,172.7101508,97.9,107.51899024717518,0.51,CV
"2,3,4,4prime-Tetrachlorobiphenyl",0.3103,947.66533,167.6759879,98.6,91.67179848256029,0.3,CV
"2,2prime,3,3prime,4,5-Hexachlorobiphenyl",0.309878,1154.66762,170.5395175,99.3,102.8310189461444,0.33,CV
"2,2prime,3,4,5prime-Pentachlorobiphenyl",0.311786,1051.20028,169.9550736,99.6,97.15454595064482,0.18,CV
"2,3prime,4,5prime,6-Pentachlorobiphenyl",0.316985,1051.30229,168.7036966,99.7,94.61936918774379,0.27,CV
"2,2prime,3,4,4prime-Pentachlorobiphenyl",0.314604,1051.19997,167.3613914,100.2,95.33490354050863,0.26,CV
"2,2prime,3,4,4prime,6prime-Hexachlorobiphenyl",0.317008,1154.70416,171.1619546,100.9,100.4412015256542,0.47,CV
"2,2prime,3,3prime,4,6prime-Hexachlorobiphenyl",0.313208,1154.65443,171.1389442,101.1,101.4193035025247,0.39,CV
"2,2prime,3,4,4prime,5,6-Heptachlorobiphenyl",0.310049,1258.16462,170.5541327,102.0,107.52589603244273,0.49,CV
"2,3prime,4,4prime,6-Pentachlorobiphenyl",0.315606,1051.2618,166.6443724,102.2,94.69963325451293,0.41,CV
"2,3,3prime,4-Tetrachlorobiphenyl",0.306861,947.66888,169.8755452,102.8,93.4240494653703,0.48,CV
"2,2prime,3,4,4prime,5,6prime-Heptachlorobiphenyl",0.30899,1258.22168,172.8373218,102.8,108.48078769714542,0.54,CV
"2,2prime,3,3prime,4,5prime,6prime-Heptachlorobiphenyl",0.309094,1258.16957,172.6279693,102.9,108.45861280878655,0.59,CV
"2,2prime,3,4,4prime,5prime-Hexachlorobiphenyl",0.3068,1154.72236,171.7245911,103.1,104.12918102721957,0.32,CV
"2,2prime,4,4prime,5,5prime-Hexachlorobiphenyl",0.301829,1154.77763,171.7762967,103.5,105.74997899199495,0.29,CV
"2,3,3prime,5,5prime,6-Hexachlorobiphenyl",0.310357,1154.76841,170.1720846,104.2,102.45718269484662,0.32,CV
"2,2prime,3,4,4prime,5,6,6prime-Octachlorobiphenyl",0.307275,1361.65433,174.6627458,104.4,114.81936997343101,0.65,CV
"2,3prime,4,4prime,5prime-Pentachlorobiphenyl",0.29644,1051.2307,173.3727316,104.4,102.78875932242101,0.65,CV
"2,2prime,3,4,4prime,5-Hexachlorobiphenyl",0.307258,1154.71621,169.0291539,105.3,102.93477943115946,0.4,CV
"2,3prime,4,5,5prime-Pentachlorobiphenyl",0.298342,1051.2804,174.1941881,106.2,102.14083596193662,0.53,CV
"2,2prime,3,4,5,5prime-Hexachlorobiphenyl",0.305207,1154.71762,170.9254463,106.2,103.94971208571664,0.52,CV
"2,3,3prime,4,4prime-Pentachlorobiphenyl",0.298493,1051.18719,172.6026882,106.7,101.38511635467884,0.6,CV
"2,3,3prime,4prime,5,6-Hexachlorobiphenyl",0.308935,1154.72817,168.089484,106.7,101.84759373230757,0.36,CV
"2,3,3prime,4,5-Pentachlorobiphenyl",0.301195,1051.18534,170.2657609,106.9,100.22533440631753,0.29,CV
"2,3,4,4prime,5-Pentachlorobiphenyl",0.296464,1051.1818,168.655523,107.1,100.83255704697,0.37,CV
"2,3,3prime,4,4prime,6-Hexachlorobiphenyl",0.30848,1154.7297,168.3754262,110.7,102.33423241226706,0.34,CV
"2,2prime,3,4,4prime,5,5prime,6-Octachlorobiphenyl",0.300469,1361.68864,174.2654908,110.7,116.60507906900891,0.72,CV
"2,3,3prime,4prime,5prime,6-Hexachlorobiphenyl",0.3116,1154.72874,170.9925398,111.3,101.93999745790163,0.36,CV
"2,2prime,3,3prime,4,4prime,5,6prime-Octachlorobiphenyl",0.302633,1361.6888,176.7772297,111.4,116.11695631943212,0.86,CV
"3,3prime,4,4prime,5,5prime-Hexachlorobiphenyl",0.270349,1154.68908,162.1229821,112.2,112.5040224818149,1.85,CV
"2,3prime,4,4prime,5,5prime-Hexachlorobiphenyl",0.291187,1154.75425,176.3832176,112.2,110.12774597862013,0.89,CV
"2,3,3prime,4,4prime,5-Hexachlorobiphenyl",0.293498,1154.70341,172.987699,112.6,108.18698764353636,0.71,CV
"2,2prime,3,4,4prime,5prime,6-Heptachlorobiphenyl",0.303741,1258.23019,172.4543043,113.1,109.41743192420927,0.5,CV
"2,3,3prime,4prime,5,5prime,6-Heptachlorobiphenyl",0.309846,1258.24471,172.4567714,113.2,107.5779302218718,0.41,CV
"2,3,3prime,4,5,5prime,6-Heptachlorobiphenyl",0.307779,1258.22944,172.1093579,113.5,108.42525440441457,0.69,CV
"2,2prime,3,3prime,4,5prime,6-Heptachlorobiphenyl",0.30485,1258.22089,174.7450415,114.3,109.91464016754635,0.59,CV
"2,2prime,3,3prime,4,4prime,5,6,6prime-nonachlorobiphenyl",0.300391,1465.12114,178.5874206,115.4,122.90542346387676,1.02,CV
"2,2prime,3,3prime,4,4prime,5-Heptachlorobiphenyl",0.305917,1258.18313,172.9446809,116.0,109.29095464615762,0.41,CV
"2,2prime,3,3prime,4,5,5prime-Heptachlorobiphenyl",0.303164,1258.23197,175.822325,117.2,110.31546562950868,0.64,CV
"2,2prime,3,3prime,4,4prime,5,6-Octachlorobiphenyl",0.306669,1361.62951,174.6183968,117.3,114.37543909939302,0.74,CV
"2,2prime,3,3prime,4,4prime,5,5prime,6-nonachlorobiphenyl",0.299508,1465.14746,178.7973971,119.0,123.2455745710096,0.76,CV
"2,3,3prime,4,4prime,5prime,6-Heptachlorobiphenyl",0.314961,1258.2459,172.6792419,120.5,106.1879510300732,0.6,CV
"2,3,3prime,4,4prime,5,5prime-Heptachlorobiphenyl",0.291394,1258.22136,177.7146302,122.1,114.3569910381602,0.83,CV
"2,3,3prime,4,4prime,5,5prime,6-Octachlorobiphenyl",0.306906,1361.70567,174.3967913,125.5,113.8196554562345,0.58,CV
3-Chlorobiphenyl,0.308859,637.09491,169.0205792,74.3,78.23191811971901,0.9,Test
"3,4-Dichlorobiphenyl",0.300158,740.61529,170.535367,79.5,86.2154900965325,0.87,Test
"2,2prime,6-Trichlorobiphenyl",0.328725,844.11483,163.8863863,81.0,80.19037338328577,0.54,Test
"3,4prime-Dichlorobiphenyl",0.299372,740.65343,170.5697235,82.0,86.47136601382662,0.89,Test
"2,2prime,5,6prime-Tetrachlorobiphenyl",0.317777,947.67761,165.227467,84.9,88.82077719659513,0.33,Test
"2,2prime,3,5,6-Pentachlorobiphenyl",0.313579,1051.14319,166.9308438,88.5,95.46166144456636,0.31,Test
"2,3,6-Trichlorobiphenyl",0.325741,844.13283,161.2430067,89.2,80.32399479245979,0.55,Test
"2,2prime,4,4prime-Tetrachlorobiphenyl",0.31565,947.73262,167.0179323,90.3,90.02004155026457,0.3,Test
"2,2prime,4,5prime,6-Pentachlorobiphenyl",0.314193,1051.2407,168.2990796,91.6,95.68610816239224,0.3,Test
"2,2prime,3,5prime,6-Pentachlorobiphenyl",0.311519,1051.19108,167.4162278,92.3,96.24841237709084,0.3,Test
"2,2prime,3,4,5-Pentachlorobiphenyl",0.312777,1051.15461,167.3450617,93.1,95.8351754240465,0.3,Test
"2,2prime,3,4,5,6prime-Hexachlorobiphenyl",0.315558,1154.65847,171.0352298,94.6,100.90902688928222,0.45,Test
"2,2prime,4,4prime,6,6prime-Hexachlorobiphenyl",0.318433,1154.72976,171.3002766,96.3,100.10010739049791,0.49,Test
"2,2prime,3,3prime,4,6-Hexachlorobiphenyl",0.311362,1154.65659,170.5150892,96.6,102.05441417693855,0.4,Test
"2,2prime,3,5,5prime-Pentachlorobiphenyl",0.309126,1051.24861,168.6768152,97.0,97.37138635507952,0.31,Test
"2,3,3prime,4prime,6-Pentachlorobiphenyl",0.312923,1051.2123,166.5543,97.6,95.55542968183683,0.32,Test
"2,2prime,3,4,5,5prime,6-Heptachlorobiphenyl",0.305181,1258.16635,172.0308414,99.6,109.25615487971265,0.54,Test
"2,2prime,3,3prime,4,6,6prime-Heptachlorobiphenyl",0.306772,1258.14662,174.1724197,100.8,109.40402512765138,0.59,Test
"2,2prime,4,4prime,5-Pentachlorobiphenyl",0.308118,1051.25421,167.8665894,102.3,97.44130719777468,0.32,Test
"2,2prime,3,3prime,4,5,6prime-Heptachlorobiphenyl",0.305931,1258.17205,174.2835635,103.3,109.69939610589653,0.59,Test
"2,2prime,3,3prime,5,5prime,6-Heptachlorobiphenyl",0.303623,1258.21901,174.5406211,105.5,110.49454932474501,0.6,Test
"2,2prime,3,4prime,5,5prime-Hexachlorobiphenyl",0.304507,1154.77114,171.1729166,106.8,104.38325077165179,0.43,Test
"2,3prime,4,4prime,5-Pentachlorobiphenyl",0.293544,1051.23659,172.78367,107.6,103.43553772084236,0.67,Test
"2,2prime,3,4,4prime,5,5prime-Heptachlorobiphenyl",0.300834,1258.2396,173.2789804,111.9,110.98219856054564,0.59,Test
"2,2prime,3,3prime,4,5prime-Hexachlorobiphenyl",0.309296,1154.71509,171.0126693,113.2,102.84717887515254,0.41,Test
"2,3,3prime,4,4prime,5,6-Heptachlorobiphenyl",0.306361,1258.18896,170.1095517,115.7,108.31500730989772,0.54,Test
"2,2prime,3,3prime,4,4prime,5,5prime-Octachlorobiphenyl",0.303443,1361.70072,177.9300787,119.6,116.3955920704834,0.81,Test
