Name,SGBP,Hardness,Hvapor,Hvapor_pred,Hvapor_pred_sd,Set
"2,2prime,3,4,6-Pentachlorobiphenyl",1051.14516,0.315143,89.0,95.6416888390459,0.3,CV
"2,2prime,3,4prime,6-Pentachlorobiphenyl",1051.18948,0.314736,89.2,95.80464155117903,0.3,CV
"2,2prime,3,3prime,6-Pentachlorobiphenyl",1051.13979,0.315717,89.2,95.35292793722559,0.22,CV
"2,4,4prime-Trichlorobiphenyl",844.19296,0.302183,89.3,88.61873554079212,0.83,CV
"2,3prime,5-Trichlorobiphenyl",844.19674,0.307074,89.4,86.99742141484964,0.61,CV
"2,3prime,4,6-Tetrachlorobiphenyl",947.74146,0.320791,90.3,88.18382594098401,0.19,CV
"2,2prime,3,4-Tetrachlorobiphenyl",947.63845,0.32085,90.5,88.25286065793037,0.33,CV
"2,2prime,4,5-Tetrachlorobiphenyl",947.69279,0.313979,90.8,90.32935743901523,0.24,CV
"2,4prime,5-Trichlorobiphenyl",844.19346,0.302775,91.2,88.31306426841277,0.64,CV
"2,3,4prime,6-Tetrachlorobiphenyl",947.69192,0.317453,91.7,89.28981247720164,0.24,CV
"2,2prime,3,5,5prime,6-Hexachlorobiphenyl",1154.70605,0.306239,92.0,104.05946681331777,0.35,CV
"2,2prime,4,4prime,6-Pentachlorobiphenyl",1051.23907,0.317971,92.1,94.68024148883126,0.28,CV
"2,2prime,3,3prime,5,6-Hexachlorobiphenyl",1154.6549,0.309787,92.1,102.69280666653466,0.37,CV
"2,4,4prime,6-Tetrachlorobiphenyl",947.74159,0.32775,92.4,85.86747953030607,0.44,CV
"2,3prime,4prime,5prime-Tetrachlorobiphenyl",947.66794,0.303486,92.4,93.59203798170132,0.38,CV
"2,3prime,4prime,6-Tetrachlorobiphenyl",947.69828,0.327105,92.8,85.98123507216812,0.41,CV
"2,3prime,4,4prime-Tetrachlorobiphenyl",947.71436,0.29923,93.0,95.19387424804822,0.67,CV
"2,3prime,4-Trichlorobiphenyl",844.19576,0.307532,93.2,86.82654592246853,0.42,CV
"2,3,3prime-Trichlorobiphenyl",844.15274,0.31486,93.7,84.37390897018477,0.24,CV
"2,3,4prime,5-Tetrachlorobiphenyl",947.71246,0.301501,94.1,94.4692927809736,0.55,CV
"2,4,4prime,5-Tetrachlorobiphenyl",947.71564,0.296694,94.4,95.71047482502209,0.35,CV
"2,2prime,3,3prime-Tetrachlorobiphenyl",947.63595,0.323373,94.7,87.37557878730048,0.36,CV
"2,3,3prime,5prime,6-Pentachlorobiphenyl",1051.25271,0.314209,94.7,95.79666687008816,0.28,CV
"2,2prime,3,4prime-Tetrachlorobiphenyl",947.68401,0.319205,95.2,88.70265188678593,0.32,CV
"2,2prime,3,4prime,5-Pentachlorobiphenyl",1051.24779,0.311239,96.0,96.44993628983076,0.3,CV
"2,2prime,3,4prime,6prime-Pentachlorobiphenyl",1051.18915,0.319016,96.3,94.13711770398373,0.47,CV
"2,2prime,3,4prime,5prime-Pentachlorobiphenyl",1051.20669,0.311342,96.3,96.69142138824283,0.22,CV
"2,2prime,3,3prime,5,6,6prime-Heptachlorobiphenyl",1258.14497,0.304357,96.3,110.27140521205277,0.47,CV
"2,2prime,3,4,5prime,6-Hexachlorobiphenyl",1154.70776,0.307336,96.5,103.70599572981784,0.25,CV
"2,3prime,4,5-Tetrachlorobiphenyl",947.71858,0.301156,96.6,94.29676887973423,0.46,CV
"2,3,4prime,5,6-Pentachlorobiphenyl",1051.20741,0.313051,96.9,96.25975877901602,0.26,CV
"2,2prime,4,4prime,5,6prime-Hexachlorobiphenyl",1154.76292,0.310128,96.9,102.56357915872964,0.42,CV
"2,2prime,3,3prime,5,6prime-Hexachlorobiphenyl",1154.70383,0.308523,97.0,103.00437379805525,0.38,CV
"2,2prime,3,4prime,5prime,6-Hexachlorobiphenyl",1154.71353,0.307313,97.1,103.46229964197053,0.34,CV
"2,3,3prime,5,6-Pentachlorobiphenyl",1051.20743,0.312054,97.4,96.5139348177745,0.28,CV
"2,3,4,4prime,6-Pentachlorobiphenyl",1051.20919,0.312491,97.4,96.47462874224229,0.23,CV
"2,3,5,6-Tetrachlorobiphenyl",947.6482,0.319013,97.8,88.78456936987043,0.18,CV
"2,2prime,3,4prime,5,6,6prime-Heptachlorobiphenyl",1258.19507,0.312289,97.9,107.64694080703013,0.51,CV
"2,3,4,4prime-Tetrachlorobiphenyl",947.66533,0.3103,98.6,91.36476694138445,0.37,CV
"2,2prime,3,3prime,4,5-Hexachlorobiphenyl",1154.66762,0.309878,99.3,102.99419658670192,0.33,CV
"2,2prime,3,4,5prime-Pentachlorobiphenyl",1051.20028,0.311786,99.6,96.8053525627168,0.2,CV
"2,3prime,4,5prime,6-Pentachlorobiphenyl",1051.30229,0.316985,99.7,94.64473449179933,0.26,CV
"2,2prime,3,4,4prime-Pentachlorobiphenyl",1051.19997,0.314604,100.2,95.74752155784813,0.29,CV
"2,2prime,3,4,4prime,6prime-Hexachlorobiphenyl",1154.70416,0.317008,100.9,100.3265578012481,0.47,CV
"2,2prime,3,3prime,4,6prime-Hexachlorobiphenyl",1154.65443,0.313208,101.1,101.37361227049894,0.41,CV
"2,2prime,3,4,4prime,5,6-Heptachlorobiphenyl",1258.16462,0.310049,102.0,108.37625252713626,0.39,CV
"2,3prime,4,4prime,6-Pentachlorobiphenyl",1051.2618,0.315606,102.2,95.36763353888904,0.36,CV
"2,3,3prime,4-Tetrachlorobiphenyl",947.66888,0.306861,102.8,92.58846159586233,0.37,CV
"2,2prime,3,4,4prime,5,6prime-Heptachlorobiphenyl",1258.22168,0.30899,102.8,108.54389918306838,0.54,CV
"2,2prime,3,3prime,4,5prime,6prime-Heptachlorobiphenyl",1258.16957,0.309094,102.9,108.55638263797739,0.63,CV
"2,2prime,3,4,4prime,5prime-Hexachlorobiphenyl",1154.72236,0.3068,103.1,103.86728086131814,0.32,CV
"2,2prime,4,4prime,5,5prime-Hexachlorobiphenyl",1154.77763,0.301829,103.5,105.49238016582667,0.29,CV
"2,3,3prime,5,5prime,6-Hexachlorobiphenyl",1154.76841,0.310357,104.2,102.7092415117532,0.35,CV
"2,2prime,3,4,4prime,5,6,6prime-Octachlorobiphenyl",1361.65433,0.307275,104.4,115.04382567947061,0.64,CV
"2,3prime,4,4prime,5prime-Pentachlorobiphenyl",1051.2307,0.29644,104.4,101.2695116756827,0.72,CV
"2,2prime,3,4,4prime,5-Hexachlorobiphenyl",1154.71621,0.307258,105.3,103.60426660015045,0.38,CV
"2,3prime,4,5,5prime-Pentachlorobiphenyl",1051.2804,0.298342,106.2,100.8535211481431,0.55,CV
"2,2prime,3,4,5,5prime-Hexachlorobiphenyl",1154.71762,0.305207,106.2,103.9955852531759,0.53,CV
"2,3,3prime,4,4prime-Pentachlorobiphenyl",1051.18719,0.298493,106.7,100.4068958379088,0.41,CV
"2,3,3prime,4prime,5,6-Hexachlorobiphenyl",1154.72817,0.308935,106.7,102.82708590510943,0.37,CV
"2,3,3prime,4,5-Pentachlorobiphenyl",1051.18534,0.301195,106.9,99.77885617878668,0.29,CV
"2,3,4,4prime,5-Pentachlorobiphenyl",1051.1818,0.296464,107.1,100.90078159504402,0.42,CV
"2,3,3prime,4,4prime,6-Hexachlorobiphenyl",1154.7297,0.30848,110.7,103.130229001812,0.35,CV
"2,2prime,3,4,4prime,5,5prime,6-Octachlorobiphenyl",1361.68864,0.300469,110.7,116.96111297397162,0.73,CV
"2,3,3prime,4prime,5prime,6-Hexachlorobiphenyl",1154.72874,0.3116,111.3,101.90594870398749,0.35,CV
"2,2prime,3,3prime,4,4prime,5,6prime-Octachlorobiphenyl",1361.6888,0.302633,111.4,115.71528523633647,0.8,CV
"3,3prime,4,4prime,5,5prime-Hexachlorobiphenyl",1154.68908,0.270349,112.2,115.70609430430905,1.6,CV
"2,3prime,4,4prime,5,5prime-Hexachlorobiphenyl",1154.75425,0.291187,112.2,108.75383018478536,0.77,CV
"2,3,3prime,4,4prime,5-Hexachlorobiphenyl",1154.70341,0.293498,112.6,107.60716903675025,0.81,CV
"2,2prime,3,4,4prime,5prime,6-Heptachlorobiphenyl",1258.23019,0.303741,113.1,109.65902042073897,0.53,CV
"2,3,3prime,4prime,5,5prime,6-Heptachlorobiphenyl",1258.24471,0.309846,113.2,107.79652830145417,0.45,CV
"2,3,3prime,4,5,5prime,6-Heptachlorobiphenyl",1258.22944,0.307779,113.5,108.72409910740687,0.75,CV
"2,2prime,3,3prime,4,5prime,6-Heptachlorobiphenyl",1258.22089,0.30485,114.3,109.42037307663536,0.52,CV
"2,2prime,3,3prime,4,4prime,5,6,6prime-nonachlorobiphenyl",1465.12114,0.300391,115.4,122.48885768056091,1.07,CV
"2,2prime,3,3prime,4,4prime,5-Heptachlorobiphenyl",1258.18313,0.305917,116.0,109.33704174958912,0.4,CV
"2,2prime,3,3prime,4,5,5prime-Heptachlorobiphenyl",1258.23197,0.303164,117.2,109.62133153838245,0.56,CV
"2,2prime,3,3prime,4,4prime,5,6-Octachlorobiphenyl",1361.62951,0.306669,117.3,114.54978634911026,0.77,CV
"2,2prime,3,3prime,4,4prime,5,5prime,6-nonachlorobiphenyl",1465.14746,0.299508,119.0,122.82808750402174,0.73,CV
"2,3,3prime,4,4prime,5prime,6-Heptachlorobiphenyl",1258.2459,0.314961,120.5,106.25827642453585,0.64,CV
"2,3,3prime,4,4prime,5,5prime-Heptachlorobiphenyl",1258.22136,0.291394,122.1,113.31599570302396,0.71,CV
"2,3,3prime,4,4prime,5,5prime,6-Octachlorobiphenyl",1361.70567,0.306906,125.5,114.11556380072344,0.52,CV
3-Chlorobiphenyl,637.09491,0.308859,74.3,75.60084601580581,0.89,Test
"3,4-Dichlorobiphenyl",740.61529,0.300158,79.5,83.79868175797185,0.89,Test
"2,2prime,6-Trichlorobiphenyl",844.11483,0.328725,81.0,80.32823815967843,0.53,Test
"3,4prime-Dichlorobiphenyl",740.65343,0.299372,82.0,84.04676486994603,0.91,Test
"2,2prime,5,6prime-Tetrachlorobiphenyl",947.67761,0.317777,84.9,89.23176517762808,0.31,Test
"2,2prime,3,5,6-Pentachlorobiphenyl",1051.14319,0.313579,88.5,96.0169871360321,0.31,Test
"2,3,6-Trichlorobiphenyl",844.13283,0.325741,89.2,81.26336558025463,0.47,Test
"2,2prime,4,4prime-Tetrachlorobiphenyl",947.73262,0.31565,90.3,89.90055585278755,0.3,Test
"2,2prime,4,5prime,6-Pentachlorobiphenyl",1051.2407,0.314193,91.6,95.82992342618029,0.31,Test
"2,2prime,3,5prime,6-Pentachlorobiphenyl",1051.19108,0.311519,92.3,96.66442620118302,0.3,Test
"2,2prime,3,4,5-Pentachlorobiphenyl",1051.15461,0.312777,93.1,96.26866634879569,0.3,Test
"2,2prime,3,4,5,6prime-Hexachlorobiphenyl",1154.65847,0.315558,94.6,100.87105598412452,0.46,Test
"2,2prime,4,4prime,6,6prime-Hexachlorobiphenyl",1154.72976,0.318433,96.3,99.97477369310434,0.51,Test
"2,2prime,3,3prime,4,6-Hexachlorobiphenyl",1154.65659,0.311362,96.6,102.18456278555063,0.42,Test
"2,2prime,3,5,5prime-Pentachlorobiphenyl",1051.24861,0.309126,97.0,97.41662449630782,0.32,Test
"2,3,3prime,4prime,6-Pentachlorobiphenyl",1051.2123,0.312923,97.6,96.22600986085294,0.3,Test
"2,2prime,3,4,5,5prime,6-Heptachlorobiphenyl",1258.16635,0.305181,99.6,109.59292189561634,0.57,Test
"2,2prime,3,3prime,4,6,6prime-Heptachlorobiphenyl",1258.14662,0.306772,100.8,109.09379771875211,0.57,Test
"2,2prime,4,4prime,5-Pentachlorobiphenyl",1051.25421,0.308118,102.3,97.73248663937662,0.33,Test
"2,2prime,3,3prime,4,5,6prime-Heptachlorobiphenyl",1258.17205,0.305931,103.3,109.3584271436809,0.57,Test
"2,2prime,3,3prime,5,5prime,6-Heptachlorobiphenyl",1258.21901,0.303623,105.5,110.08345629413525,0.58,Test
"2,2prime,3,4prime,5,5prime-Hexachlorobiphenyl",1154.77114,0.304507,106.8,104.33665672920571,0.44,Test
"2,3prime,4,4prime,5-Pentachlorobiphenyl",1051.23659,0.293544,107.6,102.29411378581541,0.69,Test
"2,2prime,3,4,4prime,5,5prime-Heptachlorobiphenyl",1258.2396,0.300834,111.9,110.95767366735419,0.6,Test
"2,2prime,3,3prime,4,5prime-Hexachlorobiphenyl",1154.71509,0.309296,113.2,102.8344412490132,0.41,Test
"2,3,3prime,4,4prime,5,6-Heptachlorobiphenyl",1258.18896,0.306361,115.7,109.22470483923249,0.57,Test
"2,2prime,3,3prime,4,4prime,5,5prime-Octachlorobiphenyl",1361.70072,0.303443,119.6,115.61164990754958,0.74,Test
